"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"179",0.723,0.957926958265685,0.446,5.38760743760149,0.462,0.019,"17","CYBRD1"
"180",0.701,0.923939064682688,0.402,5.38508726156515,0.416,0.016,"7","RRM2"
"181",0.745,1.28687755997099,0.49,5.3720499260768,0.508,0.022,"7","TOP2A"
"182",0.714,0.979874592146291,0.428,5.36866102422326,0.441,0.013,"17","FHL1"
"183",0.767,1.10876805933654,0.534,5.35452236891474,0.551,0.019,"8","PKIB"
"184",0.721,0.83921897200256,0.442,5.32677675924508,0.453,0.012,"17","CRISPLD2"
"185",0.886,1.98162103584625,0.772,5.32142352583435,0.794,0.032,"14","RGS13"
"186",0.816,2.39567931434954,0.632,5.31376166565599,0.675,0.083,"12","PERP"
"187",0.801,2.04902199868306,0.602,5.28441669355453,0.62,0.024,"5","FGFBP2"
"188",0.779,1.105919623621,0.558,5.27126646708541,0.576,0.022,"17","CAVIN3"
"189",0.717,1.4134212875258,0.434,5.26154724699306,0.453,0.021,"17","CRIP2"
"190",0.706,1.15634098872189,0.412,5.25234114705031,0.432,0.026,"16","MYBL2"
"191",0.701,0.973324305520809,0.402,5.23338659513963,0.417,0.018,"6","PLTP"
"192",0.915,3.16618143816727,0.83,5.23064317019238,0.884,0.109,"2","S100A9"
"193",0.726,1.3518762625262,0.452,5.21459295196854,0.477,0.044,"11","PTGS1"
"194",0.731,1.27098624802899,0.462,5.19821876702827,0.482,0.024,"8","CD1C"
"195",0.743,1.39833334123272,0.486,5.18858911982824,0.507,0.027,"7","CENPF"
"196",0.807,1.30841980013393,0.614,5.17595118276486,0.635,0.031,"16","IL3RA"
"197",0.762,1.33128007976031,0.524,5.17184294291807,0.544,0.025,"6","TREM2"
"198",0.863,1.73618810416267,0.726,5.15852279482697,0.752,0.038,"7","TYMS"
"199",0.774,1.78567290483792,0.548,5.14624578402727,0.577,0.044,"2","NLRP3"
"200",0.756,1.04483166629293,0.512,5.14298751071255,0.531,0.024,"7","ZWINT"
"201",0.731,1.12687035972424,0.462,5.13785012035066,0.479,0.022,"3","CD19"
"202",0.718,0.739023806428603,0.436,5.09336443449943,0.445,0.011,"17","ECM1"
"203",0.877,1.96167782386233,0.754,5.07896256807693,0.786,0.07,"16","TSPAN13"
"204",0.704,0.925330272484709,0.408,5.07762234302629,0.425,0.02,"7","BIRC5"
"205",0.797,1.43103558448515,0.594,5.04761606117158,0.623,0.031,"17","HTRA1"
"206",0.916,2.97232723842206,0.832,4.98727877811685,0.877,0.094,"2","IL1B"
"207",0.868,1.88515343643907,0.736,4.98159613008305,0.777,0.073,"14","PRPSAP2"
"208",0.701,1.16947992109811,0.402,4.97727615287926,0.419,0.021,"2","MCEMP1"
"209",0.722,1.21415020073687,0.444,4.96475188077071,0.466,0.03,"2","LILRA5"
"210",0.715,0.783718183036463,0.43,4.95270386943883,0.444,0.014,"14","GCSAM"
"211",0.707,0.924758868104654,0.414,4.94615437053091,0.432,0.02,"16","ZFAT"
"212",0.826,1.45495306276991,0.652,4.94207219389257,0.68,0.037,"7","PCLAF"
"213",0.717,0.855898118365977,0.434,4.92550796298145,0.451,0.021,"7","ASF1B"
"214",0.725,1.05879777607911,0.45,4.91608862293004,0.47,0.024,"7","TPX2"
"215",0.777,1.2623727409004,0.554,4.87241490385843,0.576,0.022,"17","PRSS23"
"216",0.897,1.94316965702725,0.794,4.87069345927021,0.822,0.03,"3","MS4A1"
"217",0.709,0.985519713678671,0.418,4.86540251335072,0.438,0.022,"6","A2M"
"218",0.897,3.02727313224769,0.794,4.83949651201289,0.849,0.1,"2","S100A8"
"219",0.775,1.29331567342973,0.55,4.83161125452507,0.577,0.034,"7","NUSAP1"
"220",0.84,1.44436225267468,0.68,4.81830689075614,0.713,0.06,"16","GAS6"
"221",0.718,1.14397372538487,0.436,4.80292910445579,0.452,0.016,"3","VPREB3"
"222",0.793,1.44753465624358,0.586,4.78271240282592,0.613,0.033,"6","GPNMB"
"223",0.735,0.658501298665144,0.47,4.77570706067475,0.479,0.008,"9","SDC1"
"224",0.754,1.62905957991124,0.508,4.77032644341272,0.534,0.032,"11","RGS13"
"225",0.725,0.982814198064848,0.45,4.76392243072303,0.47,0.02,"17","COL18A1"
"226",0.714,0.928028706171556,0.428,4.73249103051942,0.45,0.024,"6","MSR1"
"227",0.804,1.12653559893913,0.608,4.72683769018526,0.633,0.024,"14","IGHV5-78"
"228",0.84,2.38297669134113,0.68,4.71034607043992,0.732,0.085,"4","TNFRSF4"
"229",0.725,1.01288565906124,0.45,4.70253165954711,0.471,0.026,"7","CDK1"
"230",0.785,2.1584455695701,0.57,4.70121015197237,0.625,0.089,"11","HPGD"
"231",0.75,0.928128224015648,0.5,4.69000992796707,0.521,0.021,"17","MFGE8"
"232",0.822,2.2641259869097,0.644,4.67203545814133,0.682,0.042,"17","FN1"
"233",0.874,2.65472162640649,0.748,4.65522179933145,0.787,0.054,"6","C1QB"
"234",0.79,1.7451867495474,0.58,4.64490571767688,0.611,0.04,"4","FOXP3"
"235",0.864,1.40394789875543,0.728,4.64017414710234,0.76,0.038,"14","CD22"
"236",0.926,2.15031542384666,0.852,4.62610534885942,0.888,0.063,"3","CD79A"
"237",0.891,2.54981189676778,0.782,4.62251117209704,0.823,0.059,"6","C1QA"
"238",0.754,1.33849003907826,0.508,4.62041752165989,0.533,0.031,"2","AQP9"
"239",0.8,1.1329135316342,0.6,4.61460237947916,0.627,0.031,"14","BIK"
"240",0.71,0.864375251764506,0.42,4.61352869462929,0.442,0.024,"6","SLCO2B1"
"241",0.703,0.761660040726215,0.406,4.60055524412126,0.424,0.02,"17","EPHX1"
"242",0.793,1.2809048567213,0.586,4.59633560850956,0.616,0.038,"16","SPIB"
"243",0.704,0.526438922065107,0.408,4.5910463063322,0.419,0.009,"9","FCRL5"
"244",0.706,1.07840266807591,0.412,4.55634945091502,0.439,0.034,"2","CD93"
"245",0.753,1.25065334109953,0.506,4.54807385725511,0.534,0.032,"8","CLEC10A"
"246",0.771,1.23932890580119,0.542,4.54151717030831,0.572,0.031,"14","LINC01857"
"247",0.727,0.85925252179388,0.454,4.53243648435755,0.475,0.02,"17","NFIA"
"248",0.876,2.54353715563912,0.752,4.52625629123744,0.793,0.054,"6","C1QC"
