"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RILPL2",1.32011470287155e-13,0.421371311894826,0.253,0.168,4.42740069049059e-09,"8","RILPL2"
"UFM11",1.72441026331334e-13,0.282281491346722,0.334,0.234,5.78332714110027e-09,"8","UFM1"
"DYNLT1",1.76614111807055e-13,0.324879124539145,0.328,0.23,5.92328408178502e-09,"8","DYNLT1"
"RASAL31",1.77706638874962e-13,0.328046284681662,0.382,0.277,5.95992525458849e-09,"8","RASAL3"
"BRD41",1.81986156449337e-13,0.452610236627853,0.261,0.176,6.10345171499787e-09,"8","BRD4"
"LAPTM51",1.82381851391397e-13,0.266956705141701,0.747,0.634,6.11672253196467e-09,"8","LAPTM5"
"ASXL12",1.84555778027556e-13,0.322415382853992,0.297,0.202,6.18963168348817e-09,"8","ASXL1"
"EIF2S3",1.88205941729504e-13,0.464572921274663,0.252,0.171,6.3120508737241e-09,"8","EIF2S3"
"PHIP1",1.90568199188673e-13,0.492492028859669,0.286,0.199,6.3912762643897e-09,"8","PHIP"
"DDX462",2.01224594773766e-13,0.384068636880108,0.312,0.218,6.74867045952255e-09,"8","DDX46"
"MT-ND61",2.22313498774163e-13,0.364715312016658,0.448,0.335,7.45595012188787e-09,"8","MT-ND6"
"RANBP21",2.45621909366261e-13,0.316431626551394,0.317,0.221,8.23766759632565e-09,"8","RANBP2"
"ANXA7",2.52755313526551e-13,0.328161802263873,0.267,0.179,8.47690770505347e-09,"8","ANXA7"
"WDR12",2.72745797879658e-13,0.27185721013884,0.506,0.386,9.14734856928798e-09,"8","WDR1"
"CCT6A2",3.14917287620308e-13,0.364689400947975,0.325,0.229,1.05616959922099e-08,"8","CCT6A"
"HADHA1",3.16981364982155e-13,0.355029398772272,0.289,0.199,1.06309210187715e-08,"8","HADHA"
"PSMA32",3.29226471549581e-13,0.291748048211545,0.326,0.228,1.10415974028298e-08,"8","PSMA3"
"SPCS12",3.70834974561336e-13,0.269153594648375,0.595,0.462,1.24370633768381e-08,"8","SPCS1"
"PSMA62",6.34029467989725e-13,0.272782331097997,0.46,0.342,2.12640802974394e-08,"8","PSMA6"
"ATXN2L",7.43003855915074e-13,0.346610552431597,0.25,0.168,2.49188633196797e-08,"8","ATXN2L"
"PSMD131",8.15720858488833e-13,0.365862678327825,0.267,0.181,2.73576461519985e-08,"8","PSMD13"
"TAPBP1",8.84127079170573e-13,0.289915491044915,0.467,0.348,2.96518539812227e-08,"8","TAPBP"
"MSN1",9.7512823664468e-13,0.274120019905632,0.502,0.379,3.27038508005893e-08,"8","MSN"
"LSM63",1.07143280588668e-12,0.30391458871664,0.374,0.27,3.59337134438276e-08,"8","LSM6"
"RBL21",1.16190442875921e-12,0.391791218175039,0.27,0.185,3.89679507317265e-08,"8","RBL2"
"TIAL1",1.75465780347382e-12,0.295313010249055,0.328,0.232,5.88477134129051e-08,"8","TIAL1"
"TMC61",2.34978123669607e-12,0.330181808390912,0.354,0.253,7.88069631163128e-08,"8","TMC6"
"MAP4K11",2.48814415079936e-12,0.285576528226837,0.28,0.194,8.3447378529509e-08,"8","MAP4K1"
"GOLGA7",3.49517791661671e-12,0.336685087288608,0.264,0.182,1.17221276967491e-07,"8","GOLGA7"
"CCT82",5.96479681034893e-12,0.338442585108474,0.316,0.225,2.00047355425482e-07,"8","CCT8"
"OXNAD11",6.77977013201736e-12,0.289778300838171,0.308,0.219,2.27379930687598e-07,"8","OXNAD1"
"CCND23",1.0917061940609e-11,0.357934161158309,0.394,0.295,3.66136423364146e-07,"8","CCND2"
"COX173",1.59541127936878e-11,0.276798159385035,0.49,0.376,5.35069034874701e-07,"8","COX17"
"HSP90B12",1.59602227494792e-11,0.324677000715097,0.458,0.349,5.35273950572032e-07,"8","HSP90B1"
"BCAP311",1.81645997313016e-11,0.267611529230094,0.361,0.266,6.09204345788392e-07,"8","BCAP31"
"BTF3L4",1.87803341507487e-11,0.300778339766925,0.259,0.178,6.2985484674781e-07,"8","BTF3L4"
"COPB11",1.94075331826351e-11,0.409558286611147,0.257,0.18,6.50889847879217e-07,"8","COPB1"
"FBXW5",2.02196333944385e-11,0.276245506113895,0.265,0.183,6.78126064782677e-07,"8","FBXW5"
"NRBP1",2.03246453782012e-11,0.272417037646919,0.296,0.21,6.81647956694113e-07,"8","NRBP1"
