"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"OSR2",2.0024610001202e-99,1.72734432258196,0.674,0.27,6.71585370220312e-95,"1","OSR2"
"C31",4.56885120259844e-96,1.22354999697811,0.965,0.597,1.53230131632747e-91,"1","C3"
"TNXB",7.77221350494558e-96,0.888774038116119,0.985,0.576,2.60664496528865e-91,"1","TNXB"
"MT1A",1.27749296776026e-95,1.21361402467835,0.494,0.136,4.28445591527435e-91,"1","MT1A"
"EFEMP1",2.46213915963567e-95,0.969884236497965,0.915,0.565,8.25752231358612e-91,"1","EFEMP1"
"PI16",8.38741846092763e-95,1.6181110285705,0.66,0.244,2.81297240342591e-90,"1","PI16"
"FBLN2",1.31079847970559e-94,0.863083571958796,0.945,0.625,4.39615594123662e-90,"1","FBLN2"
"TGFBR3",9.71919707016075e-93,1.02351960652816,0.891,0.505,3.25962431339051e-88,"1","TGFBR3"
"S100A10",8.92877613215169e-92,0.946185210530023,0.989,0.827,2.99453293920103e-87,"1","S100A10"
"CST3",1.72461181313683e-89,0.867104067100455,0.995,0.92,5.78400309889831e-85,"1","CST3"
"ATP1A11",7.15451390499614e-87,1.04243125073036,0.948,0.691,2.39948087345761e-82,"1","ATP1A1"
"SERPINE1",2.22683389503304e-86,2.26913800964058,0.622,0.258,7.46835551716182e-82,"1","SERPINE1"
"ZFP361",3.17261594830985e-85,1.05852720127536,0.992,0.833,1.06403193674416e-80,"1","ZFP36"
"ABHD5",4.81321621938775e-85,1.56587012273665,0.765,0.42,1.61425645565826e-80,"1","ABHD5"
"ZNF385A",1.05411882779683e-84,1.44636119203849,0.66,0.288,3.535303724665e-80,"1","ZNF385A"
"MT1M",1.22462273346209e-83,1.2725055709042,0.611,0.236,4.10713972348516e-79,"1","MT1M"
"GPX3",1.56552621430579e-83,1.07928189536543,0.869,0.509,5.25046181753875e-79,"1","GPX3"
"VEGFA",2.23436979883164e-83,1.60080440996625,0.702,0.342,7.49362943132157e-79,"1","VEGFA"
"JUNB1",6.59982693101053e-83,0.920568851374072,0.992,0.809,2.21344995612231e-78,"1","JUNB"
"ABL2",2.06164598894948e-82,1.74355272190637,0.668,0.316,6.91434831773878e-78,"1","ABL2"
"ERRFI11",1.04977202500945e-81,1.27276783655548,0.805,0.477,3.5207254174767e-77,"1","ERRFI1"
"BDKRB1",1.16533085281961e-81,3.06233907920354,0.308,0.06,3.90828661418642e-77,"1","BDKRB1"
"UGP2",2.72512378522454e-81,1.39926308987109,0.905,0.652,9.13952015088605e-77,"1","UGP2"
"SERTAD1",5.38600508881816e-81,1.25274432061787,0.834,0.525,1.80635838668784e-76,"1","SERTAD1"
"CILP",1.8004360964336e-80,0.973068933336781,0.789,0.367,6.038302580219e-76,"1","CILP"
"ADAMTS5",2.60762830759627e-80,1.54492868258819,0.566,0.206,8.74546381801636e-76,"1","ADAMTS5"
"FOSL1",1.53061936610284e-79,2.48349901260409,0.308,0.061,5.13339123003571e-75,"1","FOSL1"
"ITGA5",7.04741278237689e-79,1.46854291532565,0.717,0.364,2.36356129895356e-74,"1","ITGA5"
"PTGIS",9.35920775464646e-79,1.34264268005187,0.666,0.285,3.13889109675333e-74,"1","PTGIS"
"METRNL",2.23807923731439e-78,1.1863988503598,0.768,0.42,7.506070146105e-74,"1","METRNL"
"PXDC11",3.58687712910246e-77,1.26752932307455,0.797,0.498,1.20296685155838e-72,"1","PXDC1"
"ABLIM1",8.44651621435371e-77,1.09575901014971,0.855,0.501,2.83279260796995e-72,"1","ABLIM1"
"CD55",1.32677474528909e-76,1.31168914767858,0.872,0.609,4.44973714075055e-72,"1","CD55"
"SLC39A14",2.02605444774695e-76,1.89034771368085,0.626,0.303,6.79498140685373e-72,"1","SLC39A14"
"LDHA",8.77787911761378e-75,0.983183701380285,0.948,0.768,2.94392509846531e-70,"1","LDHA"
"NFKBIA1",5.73915884250808e-74,0.878571827126205,0.994,0.846,1.92479909260036e-69,"1","NFKBIA"
"HSPB8",1.98531017143459e-72,1.5575605061529,0.637,0.301,6.65833325295732e-68,"1","HSPB8"
"ATF31",2.83498762903428e-72,1.01851397812326,0.877,0.562,9.50798151025517e-68,"1","ATF3"
"GFPT2",4.38130405250123e-72,1.36763241735217,0.722,0.4,1.46940175312786e-67,"1","GFPT2"
"PLTP",9.08446582992542e-72,0.915284500996556,0.875,0.575,3.04674815004039e-67,"1","PLTP"
"DCN1",3.86284099754921e-71,0.774736748415252,0.988,0.863,1.29551961375805e-66,"1","DCN"
"CLEC3B",4.46161503826737e-71,0.655130372652873,0.742,0.328,1.49633645153411e-66,"1","CLEC3B"
"SERPING11",4.08095692375708e-70,0.692163715535099,0.994,0.825,1.36867133308965e-65,"1","SERPING1"
"SOCS31",5.0530017129275e-70,0.949668456018653,0.931,0.657,1.69467571448163e-65,"1","SOCS3"
"LINC01133",8.34382304216525e-70,1.17555846753459,0.512,0.174,2.79835137188138e-65,"1","LINC01133"
"AMD11",1.37108967971279e-69,0.996145992833733,0.874,0.599,4.59836056782075e-65,"1","AMD1"
"ZFP36L1",4.06769726797563e-69,1.07707052540522,0.977,0.821,1.36422430973367e-64,"1","ZFP36L1"
"PTX3",4.65335998478697e-69,3.25639441413761,0.377,0.109,1.56064387169786e-64,"1","PTX3"
"AOX1",7.70476271594857e-69,1.42258207035324,0.509,0.187,2.58402331967483e-64,"1","AOX1"
"PDGFRL1",1.55411017557816e-68,1.52043885742276,0.685,0.362,5.21217470685403e-64,"1","PDGFRL"
"IRF1",2.16193174631655e-68,1.34835826671569,0.86,0.591,7.25068669079645e-64,"1","IRF1"
"LTBP41",1.01404043897748e-67,0.779018031503051,0.985,0.751,3.40088882424267e-63,"1","LTBP4"
"BAG31",6.95656617516926e-67,1.20943875627854,0.817,0.516,2.33309316382827e-62,"1","BAG3"
"S100A13",1.13847866531516e-66,0.784503717633575,0.943,0.713,3.81822974773399e-62,"1","S100A13"
"TUBB4B1",2.00969334048376e-66,0.946395966830417,0.917,0.66,6.74010952531444e-62,"1","TUBB4B"
"DBN1",2.77629950523095e-66,1.11752489117757,0.698,0.352,9.31115328064355e-62,"1","DBN1"
"ZFAND51",4.68256436319289e-66,0.911476413080259,0.96,0.744,1.57043843612763e-61,"1","ZFAND5"
"CSF1",5.02710355130317e-66,1.40314995985375,0.671,0.35,1.68598998903606e-61,"1","CSF1"
"FOXO1",8.12882294926356e-66,1.25736080522232,0.717,0.413,2.72624464072401e-61,"1","FOXO1"
"PLAC9",1.20874188418527e-65,0.658836695417227,0.977,0.767,4.05387853118056e-61,"1","PLAC9"
"ADM",2.07063383734455e-65,1.38414311003777,0.702,0.37,6.94449176368614e-61,"1","ADM"
"ARL4D1",2.91486727219049e-65,1.47659241028943,0.688,0.383,9.77588185747247e-61,"1","ARL4D"
"MAFF",3.0972216143844e-65,1.29267296742249,0.72,0.387,1.03874618503224e-60,"1","MAFF"
"OGN",5.72354689844598e-65,0.936647400612562,0.917,0.588,1.91956315880081e-60,"1","OGN"
"THBS1",1.00949299976054e-64,1.35317996140168,0.866,0.616,3.38563762259691e-60,"1","THBS1"
"KLF41",1.40740576102904e-64,0.969611777096285,0.898,0.586,4.72015744133921e-60,"1","KLF4"
"C1S",2.2800881704717e-62,0.69999994638963,0.978,0.778,7.64695970612798e-58,"1","C1S"
"EGR3",3.77409134825317e-62,1.42209997949677,0.603,0.275,1.26575475637715e-57,"1","EGR3"
"DNAJA11",1.19851543945082e-61,0.846774120764416,0.971,0.796,4.01958108083015e-57,"1","DNAJA1"
"TRIB1",1.24540944638787e-61,1.6906313165652,0.478,0.187,4.17685420129565e-57,"1","TRIB1"
"CSRNP1",1.35878495791844e-61,1.10650240933899,0.735,0.422,4.55709299186686e-57,"1","CSRNP1"
"PROCR",1.85953624807893e-61,1.33913430213875,0.628,0.306,6.23651266880713e-57,"1","PROCR"
"BTG21",4.32445849677016e-61,1.03178708870378,0.954,0.703,1.45033689064678e-56,"1","BTG2"
"CD341",4.82035913667362e-61,0.988919063283618,0.826,0.49,1.6166520472576e-56,"1","CD34"
"HSD3B7",1.89240177079536e-60,1.16527002203057,0.568,0.25,6.34673705889347e-56,"1","HSD3B7"
"ANXA2",3.09067632197545e-60,0.658160312776057,0.986,0.836,1.03655102486413e-55,"1","ANXA2"
"NFKBIZ1",4.48072591708943e-60,1.09396840762523,0.885,0.613,1.50274585807345e-55,"1","NFKBIZ"
"HSPA81",1.1349500548858e-59,0.840064891505867,0.963,0.829,3.806395494076e-55,"1","HSPA8"
"GADD45B1",5.10266492667234e-59,0.824255324365246,0.954,0.725,1.71133176310737e-54,"1","GADD45B"
"CYBRD11",4.36646655413981e-58,0.821948736044902,0.909,0.661,1.46442555292741e-53,"1","CYBRD1"
"CADM3",1.17638066505522e-57,0.784153804574609,0.48,0.171,3.94534547446218e-53,"1","CADM3"
"IER31",2.99155387092567e-57,1.23194864797846,0.857,0.59,1.00330733723105e-52,"1","IER3"
"ROBO3",3.44408512421637e-57,1.41942192586365,0.491,0.2,1.15507726895968e-52,"1","ROBO3"
"CDKN1A1",4.72178145846217e-57,0.941489049921217,0.825,0.529,1.58359106553904e-52,"1","CDKN1A"
"HSPH1",6.79204131813483e-57,1.1137634647316,0.888,0.64,2.27791481727606e-52,"1","HSPH1"
"SEMA3C",9.39090385961533e-57,1.01212353078259,0.746,0.418,3.14952133643779e-52,"1","SEMA3C"
"DDX21",1.13571452912773e-56,0.945836148241028,0.862,0.614,3.80895938778858e-52,"1","DDX21"
"ADAMTSL4",1.54086939378994e-56,0.992451053712731,0.614,0.285,5.1677677728927e-52,"1","ADAMTSL4"
"TRIP10",3.14375237699679e-56,0.858961098436449,0.758,0.456,1.05435167219718e-51,"1","TRIP10"
"DPP4",3.41049696597244e-56,1.62091007181432,0.431,0.162,1.14381247244784e-51,"1","DPP4"
"TNFSF9",7.82986329612624e-56,1.67401319117812,0.391,0.138,2.62597955225482e-51,"1","TNFSF9"
"MGST11",8.93648023331353e-56,0.760107811715216,0.886,0.543,2.99711674064869e-51,"1","MGST1"
"PIM1",3.01676112977389e-55,1.77827743031847,0.543,0.262,1.01176134770357e-50,"1","PIM1"
"FBN1",3.96717511459688e-55,0.494099764113138,0.935,0.702,1.3305111899335e-50,"1","FBN1"
"DCLK1",4.61296255973794e-55,1.09142404195733,0.631,0.313,1.54709538328491e-50,"1","DCLK1"
"CCNL11",7.79665780457243e-55,0.721460025378968,0.96,0.728,2.6148430944975e-50,"1","CCNL1"
"LEPR",1.55085246102148e-54,1.23535530352733,0.54,0.237,5.20124898377384e-50,"1","LEPR"
"KLF91",2.79025812964884e-54,0.731039712548589,0.948,0.755,9.3579677152163e-50,"1","KLF9"
"FAM198A",3.08198719621168e-54,1.86912020811435,0.292,0.079,1.03363686586547e-49,"1","FAM198A"
"SFRP1",7.79944200768436e-54,1.29151786340705,0.505,0.21,2.61577686053718e-49,"1","SFRP1"
"FSTL1",1.26689981017316e-53,0.641913378112215,0.949,0.749,4.24892858335873e-49,"1","FSTL1"
"TNFAIP21",1.33481198648572e-53,1.18123520028318,0.822,0.552,4.4766924402758e-49,"1","TNFAIP2"
"SLC19A21",2.62085752187959e-53,1.14267165778195,0.575,0.272,8.78983195687976e-49,"1","SLC19A2"
"TIMP31",3.94052962209488e-53,0.638187565479475,0.992,0.83,1.32157482465818e-48,"1","TIMP3"
"CCDC801",7.82052181179005e-53,0.673651225125232,0.995,0.832,2.62284660523815e-48,"1","CCDC80"
"PODN1",9.16472340264863e-53,0.71587067971985,0.875,0.577,3.0736649347803e-48,"1","PODN"
"S100A6",1.11938636620226e-52,0.489854436780822,0.998,0.959,3.75419799496914e-48,"1","S100A6"
"HSP90AB11",2.5112600927797e-52,0.647382673814349,0.986,0.916,8.42226409916456e-48,"1","HSP90AB1"
"EMP11",2.69407010281455e-52,0.978652969347287,0.928,0.69,9.03537231081943e-48,"1","EMP1"
"CYR611",3.92270073879291e-52,0.82730939037415,0.922,0.669,1.31559537377637e-47,"1","CYR61"
"MEG31",7.77603769086738e-52,1.05076282559667,0.878,0.599,2.6079275207631e-47,"1","MEG3"
